,all_ratio,genre
4615,80%,Strategy
4633,22%,Strategy
4645,55%,Strategy
4650,100%,Strategy
4681,63%,Strategy
4691,57%,Strategy
4712,87%,Strategy
4713,9%,Strategy
4721,86%,Strategy
4722,0%,Strategy
4731,93%,Strategy
4756,83%,Strategy
4769,64%,Strategy
4777,71%,Strategy
4793,90%,Strategy
4794,67%,Strategy
4798,92%,Strategy
4802,78%,Strategy
4803,55%,Strategy
4807,20%,Strategy
4811,92%,Strategy
4813,86%,Strategy
4821,66%,Strategy
4829,59%,Strategy
4837,91%,Strategy
4847,80%,Strategy
4852,73%,Strategy
4853,93%,Strategy
4859,72%,Strategy
4863,57%,Strategy
4866,91%,Strategy
4876,50%,Strategy
4894,70%,Strategy
4902,70%,Strategy
4912,70%,Strategy
4913,91%,Strategy
4914,77%,Strategy
4917,70%,Strategy
4937,93%,Strategy
4952,28%,Strategy
4956,76%,Strategy
4966,72%,Strategy
4975,75%,Strategy
4997,80%,Strategy
5012,94%,Strategy
5013,62%,Strategy
5024,85%,Strategy
5039,58%,Strategy
5041,81%,Strategy
5049,84%,Strategy
5054,90%,Strategy
5080,77%,Strategy
5085,53%,Strategy
5086,88%,Strategy
5092,66%,Strategy
5102,92%,Strategy
5109,78%,Strategy
5117,66%,Strategy
5120,82%,Strategy
5125,70%,Strategy
5126,90%,Strategy
5130,80%,Strategy
5136,70%,Strategy
5137,71%,Strategy
5138,70%,Strategy
5139,74%,Strategy
5149,67%,Strategy
5150,59%,Strategy
5151,100%,Strategy
5152,62%,Strategy
5153,34%,Strategy
5156,76%,Strategy
5159,91%,Strategy
5166,55%,Strategy
5175,92%,Strategy
5181,28%,Strategy
5183,77%,Strategy
5193,50%,Strategy
5195,100%,Strategy
5198,63%,Strategy
5199,68%,Strategy
5207,60%,Strategy
5226,79%,Strategy
5227,64%,Strategy
5230,77%,Strategy
5233,84%,Strategy
5236,27%,Strategy
5252,100%,Strategy
5253,97%,Strategy
5255,100%,Strategy
5260,62%,Strategy
5261,62%,Strategy
5268,72%,Strategy
5269,90%,Strategy
5275,94%,Strategy
5280,77%,Strategy
5292,91%,Strategy
5308,60%,Strategy
5313,68%,Strategy
5325,79%,Strategy
5332,100%,Strategy
5334,57%,Strategy
5340,71%,Strategy
5341,78%,Strategy
5352,41%,Strategy
5363,40%,Strategy
5372,41%,Strategy
5376,80%,Strategy
5384,76%,Strategy
5390,78%,Strategy
5394,91%,Strategy
5395,43%,Strategy
5401,45%,Strategy
5409,72%,Strategy
5410,82%,Strategy
5418,72%,Strategy
5428,91%,Strategy
5443,96%,Strategy
5476,82%,Strategy
5482,67%,Strategy
5485,68%,Strategy
5488,64%,Strategy
5500,85%,Strategy
5502,80%,Strategy
5519,50%,Strategy
5529,70%,Strategy
5531,71%,Strategy
5533,52%,Strategy
5538,100%,Strategy
5556,66%,Strategy
5559,82%,Strategy
5564,55%,Strategy
5601,82%,Strategy
5602,68%,Strategy
5625,71%,Strategy
5628,50%,Strategy
5647,79%,Strategy
5651,75%,Strategy
5657,66%,Strategy
5658,88%,Strategy
5664,75%,Strategy
5670,62%,Strategy
5672,85%,Strategy
5673,24%,Strategy
5678,46%,Strategy
5679,80%,Strategy
5691,41%,Strategy
5698,78%,Strategy
5713,83%,Strategy
5714,94%,Strategy
