,all_ratio,genre
3862,93%,Indie
3866,64%,Indie
3874,88%,Indie
3876,82%,Indie
3881,100%,Indie
3892,86%,Indie
3898,57%,Indie
3902,90%,Indie
3903,100%,Indie
3904,94%,Indie
3905,61%,Indie
3906,68%,Indie
3911,66%,Indie
3914,100%,Indie
3915,28%,Indie
3916,94%,Indie
3917,82%,Indie
3918,50%,Indie
3929,37%,Indie
3930,55%,Indie
3931,75%,Indie
3933,95%,Indie
3940,64%,Indie
3941,54%,Indie
3943,76%,Indie
3947,80%,Indie
3949,76%,Indie
3954,59%,Indie
3958,75%,Indie
3961,64%,Indie
3962,81%,Indie
3963,84%,Indie
3965,88%,Indie
3966,84%,Indie
3973,35%,Indie
3978,83%,Indie
3981,40%,Indie
3982,82%,Indie
3984,60%,Indie
3988,53%,Indie
3990,90%,Indie
3999,80%,Indie
4001,75%,Indie
4012,33%,Indie
4015,85%,Indie
4016,86%,Indie
4017,98%,Indie
4024,78%,Indie
4026,88%,Indie
4028,78%,Indie
4031,88%,Indie
4046,100%,Indie
4052,81%,Indie
4053,93%,Indie
4058,70%,Indie
4059,66%,Indie
4060,70%,Indie
4061,91%,Indie
4067,100%,Indie
4068,87%,Indie
4069,54%,Indie
4072,62%,Indie
4074,72%,Indie
4075,93%,Indie
4085,90%,Indie
4089,94%,Indie
4097,88%,Indie
4100,77%,Indie
4105,9%,Indie
4107,32%,Indie
4111,70%,Indie
4113,50%,Indie
4115,45%,Indie
4116,71%,Indie
4121,80%,Indie
4122,64%,Indie
4124,54%,Indie
4126,64%,Indie
4127,51%,Indie
4128,38%,Indie
4133,63%,Indie
4145,67%,Indie
4146,65%,Indie
4147,70%,Indie
4148,96%,Indie
4155,83%,Indie
4162,64%,Indie
4167,100%,Indie
4171,47%,Indie
4174,60%,Indie
4175,100%,Indie
4176,94%,Indie
4190,65%,Indie
4191,62%,Indie
4199,92%,Indie
4202,98%,Indie
4205,100%,Indie
4210,60%,Indie
4211,67%,Indie
4223,67%,Indie
4224,100%,Indie
4228,42%,Indie
4234,42%,Indie
4245,75%,Indie
4246,68%,Indie
4249,77%,Indie
4250,71%,Indie
4253,97%,Indie
4257,50%,Indie
4265,96%,Indie
4269,32%,Indie
4270,90%,Indie
4271,81%,Indie
4275,63%,Indie
4280,100%,Indie
4293,29%,Indie
4296,76%,Indie
4305,89%,Indie
4307,93%,Indie
4308,78%,Indie
4309,80%,Indie
4310,64%,Indie
4312,28%,Indie
4314,90%,Indie
4316,66%,Indie
4320,95%,Indie
4322,45%,Indie
4325,73%,Indie
4326,80%,Indie
4330,74%,Indie
4332,44%,Indie
4339,82%,Indie
4341,96%,Indie
4342,43%,Indie
4343,88%,Indie
4344,76%,Indie
4345,78%,Indie
4353,0%,Indie
4358,85%,Indie
4360,90%,Indie
4363,72%,Indie
4364,87%,Indie
4365,61%,Indie
4366,79%,Indie
4370,54%,Indie
4371,76%,Indie
4375,96%,Indie
4381,80%,Indie
4383,75%,Indie
4384,92%,Indie
4389,31%,Indie
4390,68%,Indie
4392,90%,Indie
4393,77%,Indie
4395,60%,Indie
4396,50%,Indie
4397,96%,Indie
4400,89%,Indie
4403,100%,Indie
4404,94%,Indie
4408,100%,Indie
4412,94%,Indie
4416,100%,Indie
4417,64%,Indie
4419,84%,Indie
4421,57%,Indie
4422,92%,Indie
4423,65%,Indie
4425,86%,Indie
4427,96%,Indie
4428,80%,Indie
4432,70%,Indie
4436,97%,Indie
4437,100%,Indie
4438,96%,Indie
4439,72%,Indie
4440,63%,Indie
4441,86%,Indie
4444,100%,Indie
4445,86%,Indie
4455,91%,Indie
4456,90%,Indie
4457,87%,Indie
4460,34%,Indie
4463,75%,Indie
4464,83%,Indie
4465,60%,Indie
4466,80%,Indie
4469,50%,Indie
4475,78%,Indie
4482,84%,Indie
4483,84%,Indie
4485,75%,Indie
4492,73%,Indie
4493,90%,Indie
4505,79%,Indie
4509,70%,Indie
4510,68%,Indie
4514,83%,Indie
4515,91%,Indie
4519,90%,Indie
4521,50%,Indie
4534,42%,Indie
4536,75%,Indie
4540,71%,Indie
4542,66%,Indie
4546,89%,Indie
4551,93%,Indie
4556,86%,Indie
4558,89%,Indie
4559,72%,Indie
4563,100%,Indie
4565,100%,Indie
4566,50%,Indie
4567,50%,Indie
4572,69%,Indie
4578,92%,Indie
4580,93%,Indie
4586,62%,Indie
4590,69%,Indie
4593,92%,Indie
4596,47%,Indie
4598,91%,Indie
4602,74%,Indie
4608,62%,Indie
4617,92%,Indie
4619,93%,Indie
4623,81%,Indie
4624,88%,Indie
4627,100%,Indie
4628,62%,Indie
4630,83%,Indie
4639,85%,Indie
4647,67%,Indie
4651,71%,Indie
4652,89%,Indie
4654,85%,Indie
4655,76%,Indie
4656,72%,Indie
4675,27%,Indie
4676,66%,Indie
4677,100%,Indie
4678,77%,Indie
4680,90%,Indie
4684,81%,Indie
4686,50%,Indie
4690,87%,Indie
4695,85%,Indie
4699,75%,Indie
4701,91%,Indie
4711,80%,Indie
4714,52%,Indie
4723,91%,Indie
4724,70%,Indie
4725,76%,Indie
4726,90%,Indie
4729,77%,Indie
4733,94%,Indie
4737,61%,Indie
4741,70%,Indie
4743,70%,Indie
4744,92%,Indie
4747,40%,Indie
4749,94%,Indie
4751,92%,Indie
4754,63%,Indie
4758,89%,Indie
4759,83%,Indie
4760,91%,Indie
4762,94%,Indie
4766,78%,Indie
4774,100%,Indie
4775,77%,Indie
4776,76%,Indie
4779,77%,Indie
4788,92%,Indie
4796,93%,Indie
4797,20%,Indie
4804,86%,Indie
4806,75%,Indie
4809,80%,Indie
4812,84%,Indie
4814,75%,Indie
4815,79%,Indie
4822,85%,Indie
4823,93%,Indie
4825,94%,Indie
4826,90%,Indie
4830,100%,Indie
4832,88%,Indie
