,title,all_ratio,genres,specs,platform,developer,positive_review,positive_review_rank
7012,Hover,84% of the 926 user reviews for this game are positive.,"['Action', 'Adventure', 'Indie', 'Racing']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor']","SteamOS,Linux,Mac,Windows,","Midgar Studio, Fusty GamePublisher:Playdius, Plug In DigitalRelease Date: May 31, 2017",778.0,109
657,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,90% of the 864 user reviews for this game are positive.,"['Action', 'Casual', 'RPG']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","Windows,","OpusPublisher:MarvelousRelease Date: Sep 27, 2012",778.0,109
31645,Lucid9: Inciting Incident,92% of the 843 user reviews for this game are positive.,"['Casual', 'Free to Play', 'Simulation']","['Single-player', 'Steam Achievements']","Linux,Mac,Windows,","Fallen Snow StudiosPublisher:Sekai ProjectRelease Date: Apr 14, 2016",776.0,111
2407,Intergalactic Bubbles,81% of the 957 user reviews for this game are positive.,"['Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","Linux,Mac,Windows,","Hellscape GamesPublisher:Hellscape GamesRelease Date: May 29, 2015",775.0,112
2860,SC2VN - The eSports Visual Novel,92% of the 841 user reviews for this game are positive.,"['Adventure', 'Casual', 'Free to Play', 'Indie', 'RPG', 'Simulation']",['Single-player'],"Linux,Mac,Windows,","Team ElevenPublisher:Team ElevenRelease Date: Sep 7, 2015",774.0,113
27980,Happy Room,82% of the 939 user reviews for this game are positive.,"['Action', 'Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats']","Linux,Mac,Windows,","Mana Potion StudiosPublisher:Mana Potion StudiosRelease Date: Dec 19, 2016",770.0,114
37375,Might &amp; Magic: Clash of Heroes,89% of the 865 user reviews for this game are positive.,"['RPG', 'Strategy']","['Single-player', 'Multi-player', 'Co-op', 'Partial Controller Support', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Steam Leaderboards']","Windows,","Capybara GamesPublisher:UbisoftRelease Date: Sep 22, 2011",770.0,114
38753,Portal,"97% of the 36,951 user reviews for this game are positive.",['Action'],"['Single-player', 'Steam Achievements', 'Captions available', 'Partial Controller Support', 'Includes level editor', 'Includes Source SDK', 'Commentary available']","Mac,Windows,","ValvePublisher:ValveRelease Date: Oct 10, 2007",769.0,116
31351,Neon Drive,86% of the 894 user reviews for this game are positive.,"['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","Linux,Mac,Windows,","FraoulaPublisher:FraoulaRelease Date: May 12, 2016",769.0,116
27441,A Normal Lost Phone,89% of the 863 user reviews for this game are positive.,"['Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","SteamOS,Linux,Mac,Windows,","Accidental QueensPublisher:Playdius, Plug In DigitalRelease Date: Jan 26, 2017",768.0,118
