,app_name,title,id,url,all_ratio,genres,specs,platform,developer,Developer,Publisher,Release_Date,Positive_Review,Positive_Review_Rank,Top_Played_Rank
36849,Ace Combat Assault Horizon - Enhanced Edition,Ace Combat Assault Horizon - Enhanced Edition,228400.0,https://store.steampowered.com/app/228400/Ace_Combat_Assault_Horizon__Enhanced_Edition/,"60% of the 2,939 user reviews for this game are positive.","['Action', 'Simulation']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']","Windows,","NAMCOPublisher:BANDAI NAMCO EntertainmentRelease Date: Jan 24, 2013",NAMCO,BANDAI NAMCO Entertainment,Jan 24 2013,1763.0,850,
38663,Age of Chivalry,Age of Chivalry,17510.0,https://store.steampowered.com/app/17510/Age_of_Chivalry/,"87% of the 2,025 user reviews for this game are positive.",['Indie'],"['Multi-player', 'Co-op', 'Mods', 'Mods (require HL2)', 'Steam Achievements']","Windows,","Team ChivalryRelease Date: Dec 1, 2007",,,,1762.0,851,
36192,Creeper World 3: Arc Eternal,Creeper World 3: Arc Eternal,280220.0,https://store.steampowered.com/app/280220/Creeper_World_3_Arc_Eternal/,"96% of the 1,818 user reviews for this game are positive.","['Indie', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Includes level editor']","Linux,Mac,Windows,","Knuckle CrackerPublisher:Knuckle CrackerRelease Date: Mar 27, 2014",Knuckle Cracker,Knuckle Cracker,Mar 27 2014,1745.0,852,
35136,School of Dragons,School of Dragons,332070.0,https://store.steampowered.com/app/332070/School_of_Dragons/,"50% of the 3,484 user reviews for this game are positive.","['Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']","['MMO', 'Steam Achievements']","Mac,Windows,","JumpStart Games, Inc.Publisher:JumpStart Games, Inc.Release Date: Dec 4, 2014",JumpStart Games Inc,JumpStart Games Inc,Dec 4 2014,1742.0,853,
358,Universe Sandbox Legacy,Universe Sandbox Legacy,72200.0,https://store.steampowered.com/app/72200/Universe_Sandbox_Legacy/,"80% of the 2,178 user reviews for this game are positive.","['Casual', 'Indie', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Stats']","Windows,","Giant ArmyPublisher:Giant ArmyRelease Date: Apr 29, 2011",Giant Army,Giant Army,Apr 29 2011,1742.0,853,
7431,Dreamfall Chapters,Dreamfall Chapters,237850.0,https://store.steampowered.com/app/237850/Dreamfall_Chapters/,"82% of the 2,121 user reviews for this game are positive.","['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Linux,Mac,Windows,","Red Thread GamesPublisher:Red Thread GamesRelease Date: Jul 21, 2017",Red Thread Games,Red Thread Games,Jul 21 2017,1739.0,855,
31940,DEADBOLT,DEADBOLT,394970.0,https://store.steampowered.com/app/394970/DEADBOLT/,"95% of the 1,824 user reviews for this game are positive.","['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']","Linux,Mac,Windows,","Hopoo Games, LLCPublisher:Hopoo Games, LLCRelease Date: Mar 14, 2016",Hopoo Games LLC,Hopoo Games LLC,Mar 14 2016,1733.0,856,
34827,Reassembly,Reassembly,329130.0,https://store.steampowered.com/app/329130/Reassembly/,"92% of the 1,884 user reviews for this game are positive.","['Action', 'Indie', 'Strategy']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']","Linux,Mac,Windows,","Anisoptera GamesPublisher:Indie VoyageRelease Date: Feb 19, 2015",Anisoptera Games,Indie Voyage,Feb 19 2015,1733.0,856,
33068,Crusaders of the Lost Idols,Crusaders of the Lost Idols,402840.0,https://store.steampowered.com/app/402840/Crusaders_of_the_Lost_Idols/,"83% of the 2,081 user reviews for this game are positive.","['Casual', 'Free to Play', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","Mac,Windows,","Codename Entertainment Inc.Publisher:Codename Entertainment Inc.Release Date: Oct 13, 2015",Codename Entertainment Inc,Codename Entertainment Inc,Oct 13 2015,1727.0,858,
8395,SAS: Zombie Assault 4,SAS: Zombie Assault 4,678800.0,https://store.steampowered.com/app/678800/SAS_Zombie_Assault_4/,"80% of the 2,158 user reviews for this game are positive.","['Action', 'Free to Play', 'RPG']","['Single-player', 'Online Multi-Player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Leaderboards']","Mac,Windows,","Ninja KiwiPublisher:Ninja KiwiRelease Date: Oct 16, 2017",Ninja Kiwi,Ninja Kiwi,Oct 16 2017,1726.0,859,
34362,GemCraft - Chasing Shadows,GemCraft - Chasing Shadows,296490.0,https://store.steampowered.com/app/296490/GemCraft__Chasing_Shadows/,"95% of the 1,816 user reviews for this game are positive.","['Action', 'Indie', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","Windows,","Game in a BottlePublisher:Armor Games StudiosRelease Date: Apr 30, 2015",Game in a Bottle,Armor Games Studios,Apr 30 2015,1725.0,860,
36866,3DMark,3DMark,223850.0,https://store.steampowered.com/app/223850/3DMark/,"87% of the 1,980 user reviews for this software are positive.",['Utilities'],"['Steam Achievements', 'Steam Leaderboards']","Windows,",ULPublisher:UL,,,,1723.0,861,
