,all_ratio,developer
12382,72%,Triple Eh?
12383,71%,Anatoliy Loginovskikh
12384,56%,Fuero Games
12385,60%,Chris Mailloux
12386,100%,Kivano
12387,96%,
12388,73%,The Simutrans Team
12389,85%,"Traveller's Tales, TT Games, Feral Interactive (Mac)"
12390,76%,"Traveller's Tales, TT Games, Feral Interactive (Mac)"
12391,84%,Ninja Kiwi
12392,100%,Office 5656
12393,80%,KADOKAWA
12394,96%,Aivaras Klimas
12395,50%,Yusuke Uemura
12396,70%,D3 
12397,80%,Big Fat Simulations Inc.
12398,87%,Blacksea Odyssey
12399,57%,Jane Rachel Whittaker
12400,70%,Just1337 Studio
12401,92%,Choice of Games
12402,68%,Strange Fire
12403,35%,Semen Rodin
12404,83%,
12405,91%,Running With Scissors
12406,85%,Puzzling Dream
12407,93%,Icetesy SPRL
12408,63%,PortaPlay
12409,100%,Afrobeast Games
12410,65%,Nick Everlith
12411,52%,
12412,30%,"Hunter Games Australia, Hunter Games Studio China"
12413,90%,Frontwing
12414,92%,"Jerzie, Creobit"
12415,83%,"SNK CORPORATION, DotEmu"
12416,66%,Lonely Troops
12417,88%,Misfits Attic
12418,94%,Kunos Simulazioni
12419,81%,"Nippon Ichi Software, Inc."
12420,35%,From Soy Sauce LLC
12421,84%,Resilient Games Ltd.
12422,66%,Squatting Penguins
12423,92%,Villainous  Games
12424,50%,Guerilla Tea Games
12425,70%,
12426,84%,FlyAnvil
12427,93%,NotGames
12428,88%,UAA Software
12429,85%,"Manuel Pazos, Daniel Celemín"
12430,25%,FrameLineNetwork
12431,86%,Piranaking
12432,72%,Byzantine Games
12433,76%,Enlightened Games
12434,95%,Zeke Virant
12435,82%,Megastorm Games
12436,100%,RebRank
12437,95%,Katatema
12438,45%,"Daniel Gallagher, Nathan Gallardo"
12439,86%,"Digits Crossed Interactive, LLC"
12440,53%,
12441,31%,"Michael Flynn, Elizabeth Flynn"
12442,70%,ZeroBit Games
12443,72%,Evil Tortilla Games
12444,78%,7 Raven Studios
12445,89%,CyberConnect2 Co. Ltd.
12446,89%,Red Dot Games
12447,54%,Quick Click Games
12448,16%,
12449,66%,BlackMark Studio
12450,86%,Dark Gaia Studios
12451,76%,Crunchy Games
12452,42%,Deck13 Hamburg
12453,90%,"Traveller's Tales, TT Games, Feral Interactive (Mac)"
12454,53%,DEADBIT
12455,86%,Pilgrim Adventures
12456,86%,Fraoula
12457,36%,"Gogii Games, World-Loom"
12458,79%,SkyBox Labs
12459,90%,Lantana Games
12460,50%,
12461,85%,"Daniel Ritchie - Squirreldome.com, Philip Staiger - TheBest3D.com"
12462,87%,treeform
12463,78%,Geoff 'Zag' Keene
12464,76%,HFM Games
12465,83%,ChAIR Entertainment
12466,62%,Gearbox Software
12467,80%,
12468,75%,S.C. 16 BIT NIGHTS S.R.L.
12469,75%,Nikita Nefedov
12470,80%,Freakinware Studios
12471,77%,
12472,92%,Maithonis Studios
12473,56%,TFDi Design
12474,34%,United Independent Entertainment GmbH
12475,33%,United Independent Entertainment GmbH
12476,53%,REX
12477,90%,SCS Software
12478,92%,SCS Software
12479,65%,Harotobira
12480,72%,Cold Tea Studio
12481,55%,Four Winged Studio
12482,96%,Wish Fang
12483,88%,Toffee Games
12484,84%,Bad Seed
12485,70%,"Gustav ""Goffa"" Söderström"
12486,100%,Bonfire Games
12487,66%,
12488,91%,
12489,50%,R&amp;G Software
12490,93%,Clifftop Games
12491,73%,Mohawk Games
12492,58%,Animus Interactive Inc
12493,27%,Joona Vartiainen
12494,68%,Throw the warped code out
12495,79%,Milkstone Studios
12496,89%,
12497,85%,Sylvain Harlaut
12498,49%,Raptor Claw Games
12499,64%,Ed Farage
12500,85%,
12501,27%,
12502,94%,VR Designs
12503,87%,Poni-Pachet SY
12504,35%,Hipix Studio
12505,17%,"Paper Pirates, Sokolab"
12506,80%,314 Arts
12507,83%,
12508,23%,Tall Story Studios
12509,20%,Daniil Hasanov
12510,63%,Outlands
12511,80%,
12512,84%,Lapovich
12513,70%,Riveted Games
12514,80%,"SNK CORPORATION, DotEmu"
12515,57%,Plain Concepts Corp
12516,65%,
12517,89%,"Kastriot Sulejmani, Logan Gerrol"
12518,60%,
12519,75%,Overflow
12520,81%,Twice Circled
12521,84%,The Odd Gentlemen
12522,100%,
12523,48%,TEN10 Games
12524,53%,NIKITA ONLINE
12525,34%,Odin Game Studio
12526,20%,Seraphim Creations
12527,64%,Aldorlea Games
12528,71%,Hexage
12529,70%,HeroCraft
12530,96%,
12531,74%,Desert Owl Games LLC
12532,81%,
12533,90%,
12534,95%,
12535,82%,Bandit-1
12536,90%,ASTRO PORT
12537,82%,Webcore Games
12538,95%,"Elias Viglione, Jussi Kukkonen"
12539,14%,
12540,69%,Dovetail Games
12541,86%,Organic 2 Digital Studio
12542,96%,Klei Entertainment
12543,67%,Tindalos Interactive
12544,61%,Tonguç Bodur
12545,17%,Peace
12546,65%,Minddesk Software GmbH
12547,67%,Black Forest Games
12548,48%,Crowbox
12549,84%,Forever Entertainment S. A.
12550,67%,Cleversan Software
12551,64%,"Byte4Games, Byte4games SL."
12552,85%,Office 5656
12553,86%,Relative Games
12554,83%,
12555,81%,
12556,77%,"Antanas Marcelionis, Renė Petrulienė"
12557,91%,"FK Digital, Flyhigh Works"
12558,85%,SIGONO INC.
12559,69%,EnsenaSoft
12560,61%,Wellore
12561,47%,Freshtrax
12562,62%,Mojang
12563,70%,"Rageborn Studio, LLC"
12564,66%,Autarca
12565,70%,Stoic
12566,88%,Digital Train Model
12567,87%,Particle Studios
12568,83%,BANDAI NAMCO Studios Inc.
12569,84%,BANDAI NAMCO Studios Inc.
12570,80%,BANDAI NAMCO Studios Inc.
12571,86%,BANDAI NAMCO Studios Inc.
12572,91%,FRENCH-BREAD
12573,63%,
12574,88%,
12575,44%,Crafty Studios
12576,76%,Machine 22
12577,83%,Ninja Kiwi
12578,65%,Phung Games
12579,80%,Hydrant Games
12580,69%,ZeroBit Games
12581,64%,Jonathan BRASSAUD
12582,94%,Critical Games
12583,78%,
12584,97%,"Spike Chunsoft Co., Ltd., Abstraction Games"
12585,71%,
12586,87%,DotEmu
12587,80%,Lemonsucker Games
12588,72%,Dinofarm Games
12589,83%,JE Software
12590,95%,Ignishot
12591,96%,Lab Zero Games
12592,100%,Frogames
12593,93%,SCS Software
12594,94%,SCS Software
12595,26%,Mihai Morosanu
12596,62%,Gregor Panič
12597,85%,"Playdek, Inc."
12598,51%,Cadence Games
12599,91%,Snowrunner Games
12600,78%,XPAGAME
12601,23%,Rail Magic
12602,72%,electrolyte
12603,72%,Rogue Factor
12604,90%,Rogue Factor
12605,55%,Trion Worlds
12606,90%,Itanimulli Games
12607,45%,Imperia Online LTD
12608,74%,Immersed Games
12609,91%,Kiro'o Games
12610,92%,Fallen Snow Studios
12611,80%,MGP Studios
12612,58%,Studio Saizensen
12613,83%,PixelTail Games
12614,67%,Nonadecimal Creative
12615,88%,Cardboard Keep
12616,65%,Profenix Studio SRLS
12617,55%,Red Abyss Software
12618,22%,BTD Team
12619,29%,GDNomad
12620,94%,Rainssong
12621,55%,
12622,57%,
12623,84%,Spearhead Games
12624,71%,Positech Games
12625,91%,AMPLITUDE Studios
12626,91%,"Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy"
12627,51%,Transhuman Design
12628,88%,BrainGoodGames
12629,67%,Last Lotus
12630,75%,"Qiwi Games, LLC, Graveck"
12631,73%,LWNA
12632,84%,
12633,95%,
12634,97%,
12635,87%,
12636,93%,
12637,70%,
12638,90%,
12639,82%,
12640,85%,
12641,92%,
12642,83%,
12643,84%,
12644,94%,
12645,82%,
12646,64%,
12647,92%,Dodge Roll
12648,86%,Dodge Roll
12649,80%,Dodge Roll
12650,87%,
12651,87%,
12652,93%,inkle Ltd
12653,76%,
12654,85%,Panda Indie Studio
12655,78%,Lost Decade Games
12656,79%,
12657,90%,Pyrodactyl
12658,74%,
12659,83%,
12660,86%,
12661,66%,
12662,76%,
12663,58%,Insane Dreamers
12664,86%,RMAL
12665,75%,
12666,99%,CreSpirit
12667,66%,Nauris Amatnieks
12668,37%,Noetic Games
12669,56%,Arctic Hazard Game Studio a/s
12670,66%,chickeninthecornstudio
12671,72%,Beamdog
12672,91%,propeller
12673,80%,
12674,64%,17Studio
12675,73%,CloudTheWolf Games
12676,67%,
12677,87%,Argali Entertainment
12678,62%,Vertigo Games
12679,34%,Alexandr Kataev
12680,43%,"Bit Planet Games, LLC"
12681,47%,Leo B
12682,79%,Katapult
12683,88%,Game Swing
12684,91%,
12685,94%,
12686,86%,
12687,63%,Warfare Studios
12688,79%,Yai Gameworks
12689,89%,Big Fat Alien
12690,100%,Pomera Studios
12691,35%,Nvizzio Creations
12692,38%,
12693,77%,
12694,93%,Hosted Games
12695,52%,Senshi.Labs
12696,60%,"DQ Team, Insomniacs"
12697,65%,White Rabbit Games
12698,87%,
12699,80%,
12700,80%,Michaela Laws
12701,61%,
12702,80%,Matthew Coyle
12703,62%,CharlieH
12704,58%,Nude Maker
12705,95%,The Game Kitchen
12706,42%,MLB.com
12707,40%,
12708,100%,"16 Bit Psych, Kyle B"
12709,49%,Theory Georgiou
12710,72%,LucasArts
12711,71%,"Factor 5, LucasArts"
12712,93%,Kiemura Ltd
12713,77%,SIEIDI Ltd
12714,64%,PVGames
12715,55%,Vexed Enigma
12716,50%,Not Magic
12717,85%,Trite Games
12718,55%,StormCube Games
12719,47%,Ben Aprigliano
12720,52%,"Jaison Robson Gusava, SC Jogos"
12721,77%,ACQUIRE Corp.
12722,79%,BernhardM
12723,14%,VIS-Games
12724,48%,Sometimes You
12725,81%,Soldak Entertainment
12726,74%,
12727,83%,Vertical Skull Games
12728,85%,MoaCube
12729,60%,Fifth Dimension Company
12730,87%,eduweb
12731,70%,Andrew Gilmour
12732,90%,"Dumativa Creative Studio, Castro Brothers"
12733,61%,"KOEI TECMO GAMES CO., LTD."
12734,89%,Kurechii
12735,95%,FIVE-BN GAMES
12736,98%,Jonas Kyratzes
12737,86%,Gaming Corps AB
12738,86%,Frontier Developments
12739,84%,Frontier Developments
12740,75%,YGGDRASIL STUDIO
12741,97%,Double Fine Productions
12742,36%,Artem Bondin
12743,44%,Labory
12744,91%,Out of the Park Developments
12745,68%,SoftWarWare
12746,86%,Enlight Software Limited
12747,74%,Electric Games
12748,93%,"KROBON station, Vaka Game Magazine"
12749,68%,Michael Hall
12750,33%,"Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)"
12751,100%,NukGames
12752,90%,Convex
12753,64%,
12754,80%,NCE Software Games
12755,60%,VIS-Games
12756,90%,"Pyramid, Chara-Ani"
12757,67%,Argus Games
12758,72%,4 Door Lemon
12759,73%,Osaris Games
12760,53%,Gunnar Games
12761,65%,Springloaded
12762,94%,Satsu
12763,81%,Black Death Apps Limited
12764,22%,HGames-ArtWorks
12765,64%,Pezomi
12766,54%,Diego Rodrigues
12767,82%,Sir Bedlam Productions
12768,50%,Shoor Games
12769,60%,ANPA.US
12770,80%,ANPA.US
12771,78%,Kitfox Games
12772,63%,"Visual Concepts, Yuke's Co., LTD"
12773,71%,Jerome Bodin
12774,97%,"CAVE Interactive CO.,LTD."
12775,27%,"CAVE Interactive CO.,LTD."
12776,100%,Dry Cactus
12777,86%,"Alexey Bokulev, Sergei Klimov, Charlie Oscar Lima Tango Interactive Entertainment"
12778,54%,ARTIFACTS
12779,60%,Maximum Games
12780,91%,Hungry Planet Games
12781,60%,"Bookmark Games, HexWar Games"
12782,72%,LionSword
12783,41%,Advent RPG
12784,45%,"Demesnegame, Composer-Motorin Dmitry (Djinotan)"
12785,89%,Oscar Brittain
12786,73%,NEW AUDIO TECHNOLOGY
12787,100%,
12788,92%,FIVE-BN GAMES
12789,95%,"Hopoo Games, LLC"
12790,94%,橘子班
12791,45%,Peace
12792,84%,Luke Godfrey
12793,90%,DEVGRU-P
12794,95%,2 players
12795,67%,AK Games
12796,50%,Microblast Games
12797,100%,Microblast Games
12798,76%,isTom Games Kft.
12799,85%,Love in Space
12800,90%,"Pilgrim Adventures, GrabTheGames Studios"
12801,50%,NewWorldCoders
12802,87%,Graviteam
12803,61%,Bread Vision Studios LLC.
12804,100%,GTGD
12805,91%,Paul Bird
12806,33%,CyberConnect2 Co. Ltd.
12807,69%,Illuminated Games
12808,94%,
12809,76%,"Psyonix, Inc."
12810,76%,Bulldog Interactive
12811,72%,Free Range Games
12812,42%,Little Freedom Factory
12813,61%,SiBear Games
12814,50%,Sandbox Games
12815,94%,Clever Endeavour Games
12816,60%,Reverie World Studios
12817,76%,HexWar Games
12818,60%,Naps Team
12819,100%,vikingfabian.com
12820,90%,vikingfabian.com
12821,69%,Blowfish Studios
12822,92%,Arc System Works
12823,58%,stillalive studios
12824,69%,Fabio Ferrara
12825,72%,Fabio Ferrara
12826,90%,Queen Bee Games
12827,78%,Suppressive Fire Games
12828,60%,Dénis Múrias
12829,100%,Dovetail Games
12830,93%,Dovetail Games
12831,95%,Curious Planet
12832,50%,Bigzur Games
12833,90%,Slightly Mad Studios
12834,88%,Wadjet Eye Games
12835,57%,Kyy Games
12836,75%,"NinjaISV, TigerNDV"
12837,86%,Playa Games GmbH
12838,90%,Innocent Grey
12839,75%,DOMO Studio
12840,100%,DOMO Studio
12841,64%,"Paloma Dawkins, Kyler Kelly, Catherine Debard"
12842,83%,Killerfish Games
12843,39%,Egosoft
12844,92%,Egosoft
12845,72%,Light Step Games
12846,70%,CREATIVE ASSEMBLY
12847,81%,Mosaic Mask Studios
12848,91%,Crate Entertainment
12849,85%,SimTex
12850,96%,SimTex
12851,71%,Shield Break Studios
12852,98%,Wube Software LTD.
12853,95%,Wube Software LTD.
12854,72%,Handsome Dragon Games
12855,58%,Flox Studios Ltd.
12856,85%,SUPERHOT Team
12857,56%,Blue Byte
12858,75%,Interama - Interactive Technology
12859,60%,Shadowprerequisite
12860,40%,voldan
12861,79%,Creative Storm Entertainment
12862,88%,Picorinne Soft
12863,71%,Whale Rock Games
12864,68%,"Chad Close, Kyle Weik"
12865,97%,△○□× (Miwashiba)
12866,61%,Just1337 Studio
12867,100%,ComixPlay
12868,76%,Frozenbyte
12869,50%,Holotech Studios
12870,79%,Bugbyte Ltd.
12871,95%,VaragtP
12872,83%,Digital Melody
12873,66%,Mihai Morosanu
12874,90%,DL Softworks
12875,85%,Redshift
12876,65%,Anarkis Gaming
12877,97%,NEKO WORKs
12878,98%,NEKO WORKs
12879,54%,ChessBase GmbH
12880,35%,MagdalenaTeam
12881,95%,Frozen Flame
12882,100%,"Muzzy Lane Software, Factus Games"
12883,94%,Netcore Games
12884,98%,David Capello
12885,94%,"Skinny Jean Death Studios, Porcelain Labs"
12886,86%,neko.works
12887,90%,Rusty Moyher
12888,52%,Cake Collective Games
12889,50%,Halissoni
12890,69%,Nomad Games
12891,80%,Intravenous Software
12892,64%,Stardock Entertainment
12893,52%,Rooted Concepts
12894,80%,GOGII Games
12895,46%,Subaltern Games
12896,93%,Ndemic Creations
12897,70%,Red Winter Software
12898,89%,"Tachi, Vaka Game Magazine"
12899,97%,"Spike Chunsoft Co., Ltd., Abstraction Games"
12900,79%,Guru Games
12901,91%,Bloober Team SA
12902,91%,Date Nighto
12903,54%,Targem Games
12904,35%,Capcom
12905,53%,Capcom
12906,86%,Capcom
12907,77%,Pixel Maniacs
12908,84%,Obsidian Entertainment
12909,78%,Steven Colling
12910,63%,ESTgames Corp.
12911,83%,Panzar Studio
12912,71%,Incodra
12913,85%,Galvanic Games
12914,98%,
12915,100%,
12916,48%,Vorobiov Vadym
12917,76%,"Collin, Kaleb, &amp; Jeya"
12918,53%,Viva Media
12919,28%,Vitaly Rekubratskiy
12920,57%,Skatanic Studios
12921,41%,m4g
12922,81%,Caravel Games
12923,89%,"2D Heroes, Ursa Games"
12924,56%,Sogoal
12925,61%,Choice of Games
12926,45%,Vae Victis Games
12927,81%,Nicolas Bernard
12928,81%,"Triple-Star Studio, Rock Path Collective"
12929,92%,Devoga
12930,60%,Calvin Weibel
12931,57%,Glass Knuckle Games
12932,41%,HexWar Games
12933,80%,Cyanide Tea
12934,39%,"Funny Games Group, Catstudio"
12935,49%,Crematorium of Time
12936,95%,MonkeyMaw
12937,43%,CydoniaGate
12938,89%,Bleank
12939,54%,YFC games
12940,100%,Realore
12941,69%,2015
12942,64%,Soccer Manager Ltd
12943,100%,Joe Richardson
12944,71%,"KOEI TECMO GAMES CO., LTD."
12945,91%,SCS Software
12946,84%,Campo Santo
12947,95%,Campo Santo
12948,95%,Rogue Factor
12949,93%,Rogue Factor
12950,77%,Stardock Entertainment
12951,87%,"Pilgrim Adventures, GrabTheGames Studios"
12952,94%,Big Corporation
12953,73%,Dream Reactor
12954,66%,4 I Lab
12955,45%,Chuck Productions
12956,89%,"Amaranth Games, LLC"
12957,90%,Wise Dad Games
12958,71%,Cardboard Robot Games
12959,81%,BANDAI NAMCO Entertainment Inc.
12960,84%,Exe Create Inc.
12961,78%,Morenori Soft
12962,29%,Adham Jaber
12963,77%,Terrifying Jellyfish
12964,88%,Oxeye Game Studio
12965,41%,FeelThere
12966,80%,FeelThere
12967,47%,Paradox Development Studio
12968,97%,Paradox Development Studio
12969,70%,DEKDEV
12970,50%,The Foundry
12971,40%,Paradox Development Studio
12972,88%,inkle Ltd
12973,87%,Boncho Games
12974,79%,Hosted Games
12975,83%,Brave Bunny
12976,73%,Beast Mode Games
12977,38%,GDNomad
12978,59%,Allods Team
12979,98%,SnoutUp
12980,52%,FIVE-BN GAMES
12981,66%,Dharker Studio
12982,83%,Lonely Troops
12983,97%,stage-nana
12984,75%,Redro Games
12985,100%,hamstercube
12986,85%,Digital Melody
12987,54%,Wolff Dobson
12988,42%,Frozenmark Games
12989,21%,Sekerin Productions
12990,46%,"KOEI TECMO GAMES CO., LTD."
12991,76%,Petite Games
12992,73%,Blazing Badger
12993,91%,"KOEI TECMO GAMES CO., LTD."
12994,66%,"CINEMAX, s.r.o."
12995,61%,Cleverweek
12996,25%,Michael Flynn
12997,40%,4gency
12998,78%,Blackbird Interactive
12999,94%,Gearbox Software
13000,90%,Whiskey Jack Games
13001,92%,Zetsubou
13002,78%,Blackbird Interactive
13003,48%,Milestone S.r.l.
13004,88%,Butterscotch Shenanigans
13005,54%,Imigea Ltd
13006,61%,Game-Labs
13007,50%,Voxler Games
13008,54%,AtomicTorch Studio
13009,65%,"Evgeny Shcherbakov, Denis Ovsyannikov"
13010,86%,Those Awesome Guys
13011,61%,Double Zero One Zero
13012,66%,Raconteur Games
13013,60%,Ratalaika Games S.L.
13014,83%,Pixellore
13015,76%,GTE Entertainment
13016,92%,The Game Creators
13017,66%,
13018,100%,Tin Man Games
13019,88%,Tin Man Games
13020,27%,AppyArt Games
13021,73%,FreezeNova
13022,93%,Night School Studio
13023,36%,Semen Rodin
13024,100%,"Night School Studio, Scntfc"
13025,62%,RailRight
13026,85%,"peakvox, O-TWO inc."
13027,48%,16bit Nights
13028,62%,BRHP
13029,69%,Chondrite Games
13030,79%,Reflextions
13031,63%,xixgames
13032,93%,Endi Milojkoski
13033,89%,Awfully Nice Studios
13034,72%,Aduge Studio
13035,66%,BANDAI NAMCO Studio Inc.
13036,80%,Screwfly Studios
13037,57%,"Fair Weather Studios, LLC"
13038,91%,Dancing Dragon Games
13039,65%,Wojciech Krupinski
13040,92%,The Revills Games
13041,57%,SionoiS
13042,48%,Aratog LLC
13043,70%,Old B1ood
13044,46%,fragOut Studio
13045,80%,Lazy Bear Games
13046,82%,Blake Garner
13047,86%,"Pilgrim Adventures, GrabTheGames Studios"
13048,95%,Lazy Bear Games
13049,80%,Spectrum Holobyte
13050,73%,Microprose
13051,90%,EternalShadow Studios
13052,89%,Scarlet String Studios
13053,94%,"Berserk Games, Victory Point Games"
13054,95%,Fallen Tree Games Ltd
13055,80%,Chewa
13056,50%,indiemaatheus
13057,38%,Cleverweek
13058,62%,Dovetail Games
13059,44%,Dovetail Games
13060,66%,"The House of Fables, Gogii Games"
13061,70%,Mad Otter Games
13062,78%,Bass Pro Shops
13063,36%,Gadget Games
13064,59%,"Rocketeer Games Studio, LLC"
13065,70%,Gravity Interactive
13066,53%,"Fabio Ferrara, Giulia Airoldi"
13067,64%,Jimbob Games
13068,83%,DopplerFrog
13069,60%,Creobit
13070,67%,ICE Entertainment
13071,93%,ICE Entertainment
13072,89%,"Jetdogs Studios, Zoom Out Games"
13073,72%,WeShare Game Studio
13074,78%,Fishing Planet LLC
13075,51%,SimProse Studios
13076,39%,Cybertime System
13077,52%,"Wicked Fun, Inc."
13078,91%,Lag Studios
13079,70%,"Anvil Drop, LLC"
13080,100%,Zetsubou
13081,67%,"Keybol, Iskander Aminov"
13082,75%,Studio SiestA
13083,71%,Heuristic Park
13084,48%,Aerosoft GmbH
13085,62%,Creobit
13086,78%,Evan (Solidplasma) Peiperl
13087,93%,Slightly Mad Studios
13088,90%,Choice of Games
13089,79%,Bartosz Bojarowski
13090,91%,Vile Monarch
13091,86%,"Alastair John Jack, Lance Hill"
13092,87%,"Pilgrim Adventures, GrabTheGames Studios"
13093,73%,Pump Action Games
13094,41%,Daybreak Game Company
13095,62%,Roaming Ground Studio
13096,57%,Zadzen Games Ltd.
13097,77%,Spooky Cat
13098,79%,Sirlin Games
13099,89%,Winged Cloud
13100,68%,Bulkhead Studios Corporation
13101,94%,Sketchy Logic
13102,66%,JDM4iK
13103,58%,Nexon
13104,51%,Ivanovich Games
13105,92%,Dovetail Games
13106,96%,Cavedog Entertainment
13107,90%,UL
13108,93%,UL
13109,90%,UL
13110,86%,UL
13111,95%,UL
13112,60%,
13113,83%,"Workroom7, Creobit"
13114,20%,Stoneworks Games
13115,86%,Stygian Software
13116,60%,Ebonscale Games
13117,63%,Queen Birdface Productions
13118,83%,Offworld Industries
13119,16%,VGstudio
13120,58%,Paradox Arctic
13121,96%,"Mediatonic, The Irregular Corporation"
13122,89%,John Szymanski
13123,97%,Kunos Simulazioni
13124,61%,The Odd Gentlemen
13125,70%,Long Division LLC
13126,55%,Logic tree
13127,54%,webgames
13128,91%,"Jundroo, LLC"
13129,66%,FireFly Studios
13130,77%,OlderBytes
13131,67%,Best Gaem Studio
13132,60%,Aaron Oldenburg
13133,94%,Choice of Games
13134,82%,GuGames Development
13135,57%,REX
13136,54%,Orbx
13137,100%,desunoya
13138,64%,"MindBlocks Studio, LLC"
13139,85%,Sector3 Studios
13140,89%,Outerminds Inc.
13141,57%,Milestone S.r.l.
13142,56%,Kevin Nitschmann/Darius Bode
13143,92%,Arc System Works
13144,77%,OMNIDREAM CREATIONS
13145,74%,Quality Simulations
13146,100%,aiueoKompany
13147,62%,Warfare Studios
13148,85%,Lazy Monday Games
13149,42%,Samaritan Studios
13150,96%,Vlambeer
13151,66%,
13152,92%,Matthew Brown
13153,88%,
13154,98%,Matt Roszak
13155,73%,Jane Rachel Whittaker
13156,81%,Alientrap
13157,90%,
13158,73%,"Virtual Basement LLC, Code Headquarters LLC"
13159,74%,Zoink Games
13160,75%,Bankroll Studios
13161,81%,VDO Games
13162,66%,SmartArt Game Studio
13163,96%,"Klei Entertainment, Capybara Games"
13164,83%,Sports Interactive
13165,92%,"Psyonix, Inc."
13166,80%,Imigea Ltd
13167,79%,INSIDE SYSTEM
13168,67%,Afterthought LLC
13169,90%,"Atixx, ClorithStudio"
13170,90%,weltenbauer. Software Entwicklung GmbH
13171,40%,Nano Games sp. z o.o.
13172,100%,peakvox
13173,47%,NIKITA ONLINE
13174,72%,Black Lime Studio
13175,65%,Erotes Studio
13176,57%,Funatics Software
13177,90%,Impressions Games
13178,83%,Impressions Games
13179,45%,Just1337 Studio
13180,96%,BrainGoodGames
13181,50%,Overcurfew
13182,97%,G.rev Ltd.
13183,91%,DIMPS
13184,84%,Arai Koh Create Office
13185,82%,
13186,12%,Carlotta Tatti
13187,29%,Eko Software
13188,46%,Tianyu Studio
13189,40%,Ectoplasm Studio Inc.
13190,29%,Robert Dahlenburg
13191,97%,Freebird Games
13192,60%,Robot Loves Kitty
13193,71%,energy milk
13194,89%,Eyzi
13195,27%,Gaming Cats Studio
13196,90%,SoftPlanet
13197,85%,Jace Masula
13198,10%,T-Rex Games
13199,86%,Ink Stains Games
13200,91%,Fabraz
13201,54%,Very Simple Idea Studios
13202,79%,Studio Saizensen
13203,67%,Kingdom Games
13204,80%,Glowstick Entertainment
13205,39%,Blue Byte
13206,79%,AMPLITUDE Studios
13207,83%,AMPLITUDE Studios
13208,71%,Rogue Factor
13209,84%,AMPLITUDE Studios
13210,40%,Sapphire Dragon Productions
13211,46%,BigBlaze Games
13212,53%,BANDAI NAMCO Studio Inc.
13213,91%,Squiddershins
13214,90%,Studio Namaapa
13215,92%,Ben 'Yahtzee' Croshaw
13216,90%,MuHa Games
13217,66%,b-alive gmbh
13218,3%,FrameLineNetwork
13219,79%,Stately Snail
13220,86%,varlamov5264
13221,93%,Sileni Studios
13222,30%,Finalspark Gamestudios
13223,51%,Ulysses Games
13224,86%,"Ben 'Yahtzee' Croshaw, Collected Worlds"
13225,66%,Snapshot Games Inc.
13226,13%,Atomicom Limited
13227,63%,Electroplasmatic Games
13228,70%,Virtavia
13229,73%,Virtavia
13230,81%,Pixeljam
13231,77%,CreativeForge Games
13232,77%,
13233,40%,
13234,89%,Klei Entertainment
13235,97%,"CAVE Interactive CO.,LTD."
13236,49%,CivilSavages
13237,52%,phime studio LLC
13238,91%,
13239,53%,Mighty Fox Studio
13240,61%,Rail Slave Games
13241,75%,Winnie Song
13242,70%,Is Future Bright
13243,50%,TNT Team
13244,72%,ANPA.US
13245,66%,Daylight Studios
13246,98%,07th Expansion
13247,65%,Warfare Studios
13248,91%,Illwinter Game Design
13249,84%,Arcade Zone
13250,31%,Shumkov Dmitriy
13251,96%,"Relic Entertainment, THQ Nordic"
13252,40%,"KOEI TECMO GAMES CO., LTD."
13253,85%,"Jetdogs Studios, CorePunch Gamestudio"
13254,95%,Dinosaur Polo Club
13255,79%,Choice of Games
13256,11%,Thrill Pill Games
13257,100%,FireFly Studios
13258,68%,NeocoreGames
13259,64%,Hajime Doujin Circle
13260,80%,Hitcents
13261,71%,Winged Cloud
13262,96%,Kilted Camel
13263,63%,Liquid Dragon Studios
13264,92%,
13265,81%,Digital Media Workshop
13266,60%,FeelThere
13267,88%,InvertMouse
13268,100%,InvertMouse
13269,85%,SCS Software
13270,72%,James Mearman
13271,75%,Rainbow Games
13272,77%,Sunward Games
13273,45%,Overhead Games
13274,82%,"SkyBox Labs, Forgotten Empires"
13275,82%,Artifice Studio
13276,73%,"Gunfire Games, Vigil Games, THQ Nordic"
13277,77%,"Gunfire Games, Vigil Games, THQ Nordic"
13278,38%,Dreamatrix
13279,72%,Landfall
13280,58%,ANPA.US
13281,79%,Submersivo Game Studio
13282,42%,Blue Byte
13283,61%,Blue Byte
13284,56%,Oblivionburn Productions
13285,84%,
13286,65%,"Pirozhok Studio, Vitaliy Ruzankin"
13287,70%,Marmalade Game Studio Ltd
13288,53%,FS2Crew
13289,67%,Delve Interactive
13290,82%,Mouldy Toof Studios
13291,97%,BANDAI NAMCO Studio Inc.
13292,94%,Blue Mammoth Games
13293,83%,Cyanide Studios
13294,61%,Cyanide Studios
13295,80%,Extrokold Games
13296,61%,"Grimm Bros, LLC"
13297,87%,Arc System Works
13298,90%,Studio Pixel
13299,68%,"Kelkafa Studios, Cardboard Sword Limited, Jet Stone Studios"
13300,27%,SecuritySession.com
13301,84%,Matthew Ritter
13302,98%,Studio Saizensen
13303,36%,Luminy Studios
13304,62%,Nooskewl
13305,64%,Sonic Team
13306,69%,Gametek Brasil
13307,74%,IObit
13308,41%,IObit
13309,70%,Nexon
13310,56%,KBJGames
13311,77%,17-BIT
13312,83%,Nomad Games
13313,64%,Royal Polygon
