,all_ratio,developer
613,79%,Renegade Kid
614,83%,
615,81%,DotEmu
616,95%,
617,20%,Dovetail Games
618,69%,Vivid Games
619,93%,Image &amp; Form Games
620,68%,Upper Byte
621,54%,Crescent Moon Games
622,88%,Agharta Studio
623,78%,SeeThrough Studios
624,63%,Sumo Digital
625,90%,
626,74%,Fishcow Studio
627,94%,"Ludosity, Remar Games"
628,65%,Frima Studio
629,66%,GRAOUMF
630,94%,
631,87%,Arachnid Games
632,88%,Traveller's Tales
633,76%,Michael Todd Games
634,55%,Jason Oda
635,57%,Semaphore
636,87%,"Ville Mönkkönen, Anne Mönkkönen"
637,60%,WizarBox
638,89%,Hörberg Productions
639,63%,Altar Games
640,90%,Spicyhorse Games
641,93%,Sumo Digital
642,89%,Stoic
643,60%,Iocaine Studios
644,74%,Zen Studios
645,77%,Bill and Eli Productions
646,76%,Jugilus
647,63%,Daedalic Entertainment
648,90%,New World Interactive
649,73%,Idea Factory
650,63%,Cyanide Studio
651,85%,JoyMasher
652,92%,Artifex Mundi
653,83%,Cyan Worlds
654,56%,L3O Interactive
655,66%,Positech Games
656,84%,Milkstone Studios
657,72%,"TT Fusion, Traveller's Tales, Feral Interactive (Mac)"
658,80%,"TT Fusion, Traveller's Tales, Feral Interactive (Mac)"
659,58%,Seaven Studio
660,91%,Necrophone Games
661,93%,Fred Wood
662,78%,MumboJumbo
663,100%,MumboJumbo
664,96%,Matthew Brown
665,94%,Matthew Brown
666,86%,"Double Helix Games, Capcom"
667,83%,"Dejobaan Games, LLC"
668,61%,"Zaxis Games, B-evil"
669,92%,Parallax
670,88%,Dovetail Games
671,36%,Cateia Games
672,89%,Dancing Dragon Games
673,89%,Alastair John Jack
674,87%,Climax Studios
675,51%,Rsupport Inc.
676,93%,Rocket Jump
677,36%,app2fun
678,46%,Paradox Development Studio
679,61%,Paradox Development Studio
680,61%,Paradox Development Studio
681,67%,Kheops Studio
682,87%,Sector3 Studios AB
683,65%,Red Wasp Design Ltd
684,94%,Rocket Bear Games
685,46%,Excalibur
686,76%,ComiPo! LLP
687,89%,Vector Unit
688,7%,"INTERMARUM, ONE MORE LEVEL"
689,93%,Hydravision Entertainment
690,78%,Hydravision Entertainment
691,94%,Matt Thorson
692,22%,Burian Media Enterprises
693,92%,"International Games System, Co., LTD."
694,91%,"Flashback Games, The Lordz Games Studio"
695,71%,"Flashback Games, The Lordz Games Studio"
696,76%,"Flashback Games, The Lordz Games Studio"
697,81%,"Flashback Games, The Lordz Games Studio"
698,87%,Crystal Shard
699,54%,ZSK Progres s.c.
700,90%,BlueLine Games
701,72%,Spiky Caterpillar
702,58%,Neutron Games
703,39%,Wastelands Interactive
704,77%,Milestone S.r.l.
705,68%,"Spark Unlimited, comcept Inc., Team NINJA"
706,82%,"Mighty Rabbit Studios, Gun."
707,44%,Organic Humans
708,73%,White Paper Games
709,87%,Coffee Stain Studios
710,38%,GameORE
711,47%,Gogii Games
712,80%,BetaDwarf
713,39%,Armature Studio
714,89%,WizarBox Production
715,51%,Obsidian Entertainment
716,55%,Obsidian Entertainment
717,77%,WZOGI
718,88%,Cranberry Production
719,60%,Witan Game Production House
720,87%,SCS Software
721,65%,Apeiron
722,93%,Nemoria Entertainment
723,74%,Idea Factory
724,56%,Mad Otter Games
725,70%,Nikita
726,85%,Best Way
727,86%,1C Entertainment
728,78%,Shaman Games Studio
729,68%,ALTAR Interactive
730,88%,MagicIndie
731,73%,Frogdice
732,30%,Geoff Keighley
733,82%,Lion's Shade
734,69%,Dovetail Games
735,51%,Gogii Games
736,94%,Humongous Entertainment
737,79%,Cold Beam Games
738,97%,Lab Zero Games
739,95%,PIXOWL INC.
740,59%,Matthew Brown
741,86%,Phosfiend Systems
742,100%,Young Horses
743,80%,"Electric Eggplant, Kalani Games, Inc., HRG (Heirs of Rube Goldberg), Unity Games"
744,44%,9heads Game Studios
745,56%,Games Up
746,78%,Alawar Entertainment
747,58%,Gogii
748,39%,Gogii Games
749,56%,Gogii Games
750,92%,Ubisoft Montréal
751,46%,Ubisoft Montréal
752,60%,Ubisoft Montréal
753,73%,Ubisoft Montréal
754,40%,Ubisoft Montréal
755,30%,Rage Software
756,60%,Mighty Rabbit Studios
757,59%,Haruneko Entertainment
758,78%,"Interactive Binary Illusions, SubZero Software"
759,70%,3D Realms (Apogee Software)
760,96%,3D Realms (Apogee Software)
761,95%,3D Realms (Apogee Software)
762,95%,Remedy
763,93%,3D Realms (Apogee Software)
764,88%,Moonlite Software
765,66%,Winter Wolves
766,91%,Black Cactus
767,85%,Ageod
768,79%,Volition Inc.
769,72%,Puny Human
770,81%,Gogii Games
771,64%,Gogii Games
772,78%,Gogii Games
773,72%,Microids
774,87%,Osumia Games
775,85%,Over the Top Games
776,66%,SomaSim
777,95%,Treasure
778,64%,Spiders
779,84%,"SkyBox Labs, Ensemble Studios"
780,55%,Visual Outbreak
781,65%,Himalaya Studios
782,90%,Fistful of Frags Team
783,70%,DL Softworks
784,74%,"SmiteWorks USA, LLC"
785,74%,Utopian World of Sandwiches
786,60%,DL Softworks
787,94%,Orange_Juice
788,51%,Zootfly
789,60%,Dark Gaia Studios
790,87%,Nabi Studios
791,83%,"Rusty Moyher, Shaun Inman, Matt Grimm"
792,92%,SCS Software
793,69%,Full Control Studios
794,77%,Serious Brothers
795,90%,SCS Software
796,90%,SCS Software
797,94%,SCS Software
798,78%,Defrost Games
799,94%,Supergiant Games
800,97%,Supergiant Games
801,77%,Keybol
802,33%,Peter Moorhead
803,68%,Sebastien Bini
804,87%,The Working Parts
805,74%,Code Force
806,93%,"Sparpweed, Codeglue"
807,45%,Rsupport Inc.
808,36%,Freegamer
809,67%,Exkee
810,90%,Eko Software
811,92%,Gone North Games
812,80%,Liquid Flower
813,22%,Genee Network
814,74%,Nowhere Studios
815,93%,Lonely Troops
816,72%,Koalabs
817,72%,SCS Software
818,88%,"Nicalis, Inc."
819,61%,Glass Knuckle Games
820,60%,SCS Software
821,89%,Dreamworlds
822,86%,Phenomenon Games
823,88%,Snowbird Games
